Cite Key,Title,Authors,Year,Publication Date,Journal,Abstract,Citation Count,Citations/Year,DOI,URL
Pal25,Alzheimer's Association Clinical Practice Guideline on the use of blood‐based biomarkers in the diagnostic workup of suspected Alzheimer's disease within specialized care settings,S. Palmqvist; Heather E. Whitson; Laura A. Allen; M. Suárez‐Calvet; Douglas Galasko; T. Karikari; Hamid R. Okrahvi; Madeline Paczynski; S. Schindler; C. Teunissen; Henrik Zetterberg; Maria C. Carrillo; R. Edelmayer; Simin Mahinrad; Mary Beth McAteer; Lara A. Kahale; S. Pahlke; M. Tampi,2025,2025-07-01,Alzheimer's & Dementia,"A panel of clinicians, subject‐matter experts, and guideline methodologists convened by the Alzheimer's Association conducted a systematic review and formulated evidence‐based recommendations for using blood‐based biomarkers (BBMs) in the diagnostic workup of suspected Alzheimer's disease (AD) within specialized care settings. The scope focuses on individuals with objective cognitive impairment, including those with mild cognitive impairment (MCI) or dementia, who are undergoing evaluation by providers trained and experienced in memory disorders, where AD is the suspected underlying etiology.",95,93.9,10.1002/alz.70535,https://doi.org/10.1002/alz.70535
The25,Blood phosphorylated tau for the diagnosis of Alzheimer's disease: a systematic review and meta-analysis.,J. Therriault; W. Brum; Lydia Trudel; A. Macedo; F. Bitencourt; C. Martins-Pfeifer; Martin Nakouzi; I. Pola; Matthew Wong; P. Kac; Ana Paula Bernardes Real; Chloë Witherow; T. Karikari; Alexis Moscoso; E. Zimmer; Michael Schöll; T. Pascoal; A. Benedet; N. Ashton; S. Schindler; Henrik Zetterberg; K. Blennow; P. Rosa-Neto,2025,2025-09-01,The Lancet. Neurology,"BACKGROUND
Plasma phosphorylated tau (p-tau) biomarkers show promise to transform the clinical management of Alzheimer's disease by providing more accessible and cost-effective diagnostic tools. p-tau biomarkers have emerged as leading contenders for clinical implementation; however, there have been no comprehensive meta-analyses of their diagnostic performance. We aimed to evaluate the diagnostic performance of plasma p-tau biomarkers and individual p-tau assays to identify biologically defined Alzheimer's disease.


METHODS
For this systematic review and meta-analysis, we searched Embase, MEDLINE, PubMed, Scopus, and Web of Science for articles published from July 1, 1984 up to Dec 9, 2024, that reported on the discriminative accuracy of plasma p-tau biomarkers for amyloid-PET, tau-PET, CSF, and neuropathological reference standards. We included cohort, case-control, cross-sectional, and randomised controlled studies that recruited adults from any setting. Articles were excluded if they did not contain data on a p-tau blood biomarker, did not contain an appropriate biological reference standard, did not report diagnostic accuracy data, included participants younger than 18 years, or reported duplicate or overlapping data from another publication. Summary data were independently extracted by eight authors. Risk of bias was assessed using QUADAS-2. The primary outcome was the diagnostic performance of plasma p-tau biomarkers for Alzheimer's disease. We used a bivariate random-effects meta-analysis to estimate pooled sensitivity, specificity, diagnostics odds ratio and area under the receiver operating characteristic curve. We assessed the certainty of evidence using GRADE. This study was done following PRISMA-DTA guidelines and is registered with PROSPERO as CRD42023422143.


FINDINGS
Of the 6429 studies identified by our search, 312 studies were assessed for eligibility, with 113 studies included in the final analysis, comprising 29 625 unique individuals. Plasma p-tau217 was the highest-performing biomarker for identifying biologically defined Alzheimer's disease, with pooled sensitivity of 88·1% (95% CI 86·7-89·5, moderate certainty of evidence), specificity of 88·7% (87·4-89·9, moderate certainty of evidence), area under the receiver operating characteristic curve (AUROC) of 91·1% (88·9-92·4, moderate certainty of evidence), and diagnostic odds ratio of 50·7 (40·6-63·4). p-tau181 pooled sensitivity was 80·5% (78·4-82·4, low certainty of evidence), specificity was 76·4% (74·1-78·6, low certainty of evidence), AUROC was 81·5% (80·2-82·9, low certainty of evidence), and diagnostic odds ratio was 13·4 (11·4-16·7). p-tau205 pooled sensitivity was 76·6% (70·7-81·6, moderate certainty of evidence), specificity was 86·0% (78·6-91·2, moderate certainty of evidence), AUROC was 85·1% (80·7-89·6, moderate certainty of evidence), and diagnostic odds ratio was 20·2 (10·5-38·7). p-tau212 pooled sensitivity was 84·5% (75·5-90·6, moderate certainty of evidence), specificity was 87·3% (79·5-92·5, moderate certainty of evidence), AUROC was 90·3% (86·6-94·1, moderate certainty of evidence), and diagnostic odds ratio was 41·2 (22·0-77·3). p-tau231 pooled sensitivity was 75·2% (71·3-78·8, moderate certainty of evidence), specificity was 75·3% (71·2-78·9, moderate certainty of evidence), AUROC was 80·2 (77·6-82·7, moderate certainty of evidence), and diagnostic odds ratio was 9·3 (7·0-12·2). Approximately 90% of studies were rated as high risk of bias for not having used predefined or externally derived thresholds.


INTERPRETATION
Plasma p-tau217 is a highly sensitive and specific biomarker for Alzheimer's disease pathology, despite the high risk of bias of many studies. Prospective clinical implementation studies in real-world settings are needed to characterise the effect of plasma p-tau217 on Alzheimer's disease diagnosis and clinical management.


FUNDING
McGill Faculty of Medicine Fellowship.",36,42.8,10.1016/S1474-4422(25)00227-3,https://doi.org/10.1016/S1474-4422(25)00227-3
Cum26,Alzheimer's disease drug development pipeline: 2026,J. Cummings; Yadi Zhou; Yuxin Yang; Kate Zhong; Jorge Fonseca; A. L. Osse; Feixiong Cheng,2026,2026-04-01,Alzheimer's & Dementia : Translational Research & Clinical Interventions,"Abstract INTRODUCTION Discovery and development of new therapies for Alzheimer's disease (AD) are urgently needed to address the world's growing population of individuals on the AD pathophysiological continuum. Clinicaltrials.gov is a resource for studying drugs in development for treatment of AD. RESULTS There are currently 158 drugs in 192 AD trials. Of the agents in trials, 39% are small molecule disease targeting therapies (DTTs); 34% are biologic DTTs; 18% are cognition enhancing symptom targeted therapies (STTs); and 10% are STTs being developed to treat neuropsychiatric symptoms of AD. Currently active trials require 54,728 participants of which 38,417 are in Phase 3. The biopharmaceutical industry sponsors 59% of AD trials including 72% of Phase 3 trials. Repurposed drugs represent 35% of the drugs in trials. DISCUSSION The AD drug development pipeline has a growing number of trials and drugs in trials. A diverse array of AD pathophysiological processes is being addressed by drugs in trials.",0,0.0,10.1002/trc2.70251,https://doi.org/10.1002/trc2.70251
Sal25,"TRAILBLAZER‐ALZ 4: A phase 3 trial comparing donanemab with aducanumab on amyloid plaque clearance in early, symptomatic Alzheimer's disease",S. Salloway; Andrew Pain; Elly Lee; Michelle Papka; Margaret B Ferguson; Hong Wang; Haoyan B Hu; M. Lu; Ena Oru; P. Ardayfio; Deirdre B Hoban; E. Collins; D. Brooks; J. Sims,2025,2025-05-01,Alzheimer's & Dementia,"The phase 3, open‐label TRAILBLAZER‐ALZ 4 study compared the effect of donanemab versus aducanumab on amyloid plaque (AP) clearance in participants with early symptomatic Alzheimer's disease.",17,14.4,10.1002/alz.70293,https://doi.org/10.1002/alz.70293
Jes26,Efficacy and safety of donanemab in the European eligible population: TRAILBLAZER-ALZ 2 post-hoc analyses,Frank Jessen; G. Dell’Agnello; J. Zimmer; Christophe Sapin; Sascha Dichter; E. Doty; S. Epelbaum; C. Evans; Paula M. Hauck; Rashna Khanna; D. Brooks; J. Sims; Federica Agosta,2026,2026-05-27,The Journal of Prevention of Alzheimer's Disease,Highlights • Donanemab significantly slowed AD progression in the EU-eligible population.• Treatment benefit with donanemab increased over 3 years.• Clinical benefits continued to increase after treatment course completion.• 52-week treatment course completers maintained amyloid clearance over 2 years.• Lower ARIA rates with exclusion of APOE ɛ4 homozygotes (TRAILBLAZER-ALZ 2 posology).,0,0.0,10.1016/j.tjpad.2026.100605,https://doi.org/10.1016/j.tjpad.2026.100605
Woj25,Immunoassay detection of multiphosphorylated tau proteoforms as cerebrospinal fluid and plasma Alzheimer’s disease biomarkers,A. Wojdała; G. Bellomo; L. Gaetani; C. Teunissen; L. Parnetti; D. Chiasserini,2025,2025-01-02,Nature Communications,"Different forms of phosphorylated tau (p-tau) have shown strong potential as Alzheimer’s disease (AD) biomarkers in both cerebrospinal fluid (CSF) and plasma. We hypothesized that p-tau proteoforms simultaneously phosphorylated at two different sites may have an increased diagnostic value compared with tau phosphorylated at a single site. Here, we developed two immunoassays detecting CSF and plasma tau simultaneously phosphorylated at both T181 and T231 (p-tau181&231) and at T217 and T231 (p-tau217&231). Subsequently, we measured CSF and plasma p-tau181&231, p-tau217&231, p-tau181, p-tau217, and p-tau231 levels in two cohorts across the AD continuum and in frontotemporal dementia (FTD) patients (discovery n = 55, validation n = 118). CSF and plasma p-tau217&231, p-tau181, p-tau217, and p-tau231 and CSF, but not plasma, p-tau181&231 were significantly elevated in all AD continuum groups vs. Neurological Disease Control group. Notably, plasma p-tau217&231 consistently showed an improved diagnostic performance compared with single-site phosphorylation assays – p-tau217 or p-tau231. The differences observed between CSF and plasma measurements suggest matrix-specific protein processing, underscoring the need for further research on the dynamics of tau phosphorylation pattern along the AD continuum. Cerebrospinal fluid tau simultaneously phosphorylated at two distinct sites (p-tau181&231 or p-tau217&231) provide high diagnostic accuracy as Alzheimer’s disease biomarkers. In plasma, a similar diagnostic accuracy was obtained only for p-tau217&231.",20,13.3,10.1038/s41467-024-54878-8,https://doi.org/10.1038/s41467-024-54878-8
Sal26,Plasma eMTBR-tau243 and %p-tau217 for Biological Staging of Alzheimer Disease,Gemma Salvadó; K. Horie; Nicolas R. Barthélemy; S. Schindler; S. Janelidze; Anna Orduña Dolado; Divya Bali; R. Perrin; John C. Morris; T. Benzinger; Brian A Gordon; E. Stomrud; N. Mattsson‐Carlgren; S. Palmqvist; Jacob W. Vogel; Randall J. Bateman; R. Ossenkoppele; Oskar Hansson,2026,2026-05-26,JAMA Neurology,"Key Points Question Can plasma %p-tau217 and eMTBR-tau243 be combined to approximate an amyloid and tau positron emission tomography (PET)–based Alzheimer disease biological staging scheme? Findings In 872 BioFINDER-2 participants and 156 independent Knight Alzheimer Disease Research Center participants, a plasma model combining %p-tau217 and eMTBR-tau243 showed strong concordance with PET-based biological staging and outperformed a %p-tau217–only model, particularly for identifying the intermediate tau stage. Advanced plasma stages also aligned with greater clinical severity, other biomarker abnormalities, and neuropathologic burden. Meaning Plasma-based staging may provide a scalable, minimally invasive approach to biological stratification of Alzheimer disease, with potential value for treatment selection and clinical trial enrichment.",0,0.0,10.1001/jamaneurol.2026.1405,https://doi.org/10.1001/jamaneurol.2026.1405
Tit26,Automated high-throughput quantification of plasma p-tau217 and APOE-ε4 for Alzheimer’s disease diagnosis and cognitive decline in a memory cohort,Jochen Titeca; Marta Scarioni; Matthijs Oyaert; T. Van Langenhove,2026,2026-02-28,Alzheimer's Research & Therapy,"Background Blood-based biomarkers could improve the precision of Alzheimer’s disease (AD) clinical diagnosis and expand access to targeted treatments. Therefore, we evaluated the diagnostic accuracy of plasma Elecsys p-tau217 (Roche) and compared it with Elecsys p-tau181 (Roche) and Lumipulse p-tau217 (Fujirebio). We also assessed the added value of APOE-ε4 carrier status, plasma Aβ42 and Aβ42/40 in a memory-clinic cohort and evaluated associations with longitudinal cognition. Materials and methods A total of 187 patients from the Cognitive Centre Ghent University (CCUG) biobank, classified as AD (n = 103) or non-AD cognitive disorders (n = 84) based on CSF biomarkers (CSF Aβ42/40 ratio, total tau and p-tau181), were included. Plasma Elecsys p-tau181, p-tau217, and APOE-ε4 were measured on the Roche cobas® pro e801, and p-tau217, Aβ42, and Aβ40 on the Fujirebio LUMIPULSE G1200. ROC analyses and single- and two-cut-off strategies (95% sensitivity/specificity) were applied. Subgroup analyses examined APOE-ε4 status, renal function, cerebral amyloid angiopathy (CAA) features, Fazekas score, and longitudinal cognition. Results Elecsys plasma p-tau217 showed high discriminative performance for AD versus non-AD (AUC 0.939), comparable to Lumipulse p-tau217 (AUC 0.950; p = 0.485). Elecsys p-tau181 performed lower than Elecsys p-tau217 (AUC 0.903; p = 0.043). Using a two-cut-off strategy, the intermediate proportion was 19.9% for Elecsys p-tau217, 11.9% for Lumipulse p-tau217, and 33.2% for Elecsys p-tau181. Adding APOE-ε4 to Elecsys p-tau217 improved discriminative performance (AUC 0.970, p = 0.02) and reduced intermediates to 11.0%. Adjustment for Aβ42 on the Fujirebio platform did not significantly increase the AUC (0.950 vs. 0.957; p = 0.322) and modestly reduced intermediate classifications (11.9% to 10.0%). Higher baseline Elecsys p-tau217 was associated with lower baseline MoCA and a trend towards faster MoCA decline (p = 0.07). Age, sex, renal function, Fazekas score, and CAA were not significantly associated with Elecsys p-tau217 concentrations. Conclusion Plasma Elecsys p-tau217 measured on an automated high-throughput platform shows excellent diagnostic accuracy for AD. Incorporating APOE-ε4 further improves classification, while Aβ42 adjustment had only limited additional impact. Baseline p-tau217 also reflects cognitive severity and may relate to subsequent cognitive decline in the memory-clinic setting. Supplementary Information The online version contains supplementary material available at 10.1186/s13195-026-01996-8.",0,0.0,10.1186/s13195-026-01996-8,https://doi.org/10.1186/s13195-026-01996-8
Kes25,The Alzheimer's Disease Diagnosis and Plasma Phospho‐Tau217 (ADAPT) study stage 1: Validating clinical cut‐points against CSF and amyloid PET,A. Keshavan; Katharine Wiltshire; Ryan Wee; Irene Gorostiaga Belio; K. Tucker; Melanie Hart; Michael P. Lunn; Michael C. B. David; Laura Rizzo; O. Sadeghi-Alavijeh; Patricia Wilson; D. Gale; A. Heslegrave; H. Zetterberg; N. Fox; Paresh A. Malhotra; J. Schott,2025,2025-09-12,Alzheimer's & Dementia,We validated plasma phosphorylated tau (p‐tau)217 cut‐points for Alzheimer's disease (AD) diagnosis using two commercial assays in two biomarker‐defined cohorts and examined influences of pre‐analytical factors and chronic kidney disease (CKD) on p‐tau217 concentrations.,0,0.0,10.1002/alz.71147,https://doi.org/10.1002/alz.71147
Che26,"Diagnostic performance of plasma p-Tau217, p-Tau181, and p-Tau231 across the Alzheimer’s disease continuum: a network meta-analysis",Xiaofeng Chen; Tingting Huang; Chao Shi; Shuizhi Xu; Shuwei Fan,2026,2026-06-03,Frontiers in Aging Neuroscience,"'
 
 Blood-based biomarkers (BBMs) are transforming the diagnostic workflow for Alzheimer’s disease (AD). However, there is no consensus on the optimal phosphorylated tau (p-tau) isoform (217, 181, or 231) or analytical platform [mass spectrometry (MS) vs. immunoassay (IA)] for clinical implementation across different disease stages.
 
 
 
 
 To systematically compare the diagnostic accuracy and prognostic value of plasma p-tau isoforms using different technical platforms for detecting amyloid-
 β
 (Aβ) pathology, tau pathology, and predicting cognitive decline.
 
 
 
 
 Studies reporting diagnostic accuracy [Area Under the Curve (AUC)] of plasma p-tau against cerebrospinal fluid (CSF) or Positron Emission Tomography (PET) standards were included. To ensure statistical independence, overlapping cohorts (e.g., BioFINDER, ADNI) were rigorously screened, selecting only the most comprehensive dataset per cohort.
 
 
 
 
 A total of 18 high-quality studies comprising 24 independent datasets and 4,736 participants were included. For detecting Aβ pathology, p-tau217 measured by MS (p217_MS) demonstrated the highest diagnostic accuracy (P-score = 0.86), followed by p-tau217 ratio (p217_Ratio) (P-score = 0.78) and automated immunoassays (P-score = 0.67–0.69), all of which significantly outperformed standard p-tau181 immunoassays (P-score = 0.12). Notably, the p-tau217/Aβ 42 ratio on automated platforms provided a significant incremental AUC gain of 0.025 (95% CI: 0.005 to 0.045;
 
 I
 2
 
  = 0%) compared to single-analyte assays, effectively bridging the performance gap with MS. In disease staging, while p-tau231 showed potential in detecting early amyloidosis, p-tau217_MS was superior for identifying advanced Tau-PET pathology (P-score = 0.91) and predicting MCI-to-dementia conversion (P-score = 0.82). Subgroup analyses confirmed consistent performance of p-tau217 across Han Chinese and Western cohorts, and demonstrated the diagnostic potential of serum-based assays as a viable matrix.
 
 
 
 
 Plasma p-tau217, particularly when measured by mass spectrometry or as a ratio on fully automated platforms, offers the highest accuracy for AD diagnosis and staging. While p-tau231 may serve as an early indicator of amyloidosis, p-tau217 is the most robust marker for tau pathology and disease progression. These findings support the integration of automated p-tau217 assays into routine clinical care to streamline patient stratification for disease-modifying therapies.
 
 
 
 
 https://www.crd.york.ac.uk/prospero/
 , identifier (CRD420261327845).
 
",0,0.0,10.3389/fnagi.2026.1834591,https://doi.org/10.3389/fnagi.2026.1834591
